Which of the following list does present JSP implicit object?,"pageContext, config, application, exception"
Which of the following list does present JSP implicit object?,"pageContext, config, context, exception"
Which of the following list does present JSP implicit object?,"pageContext, servlet, application, parameter"
Which of the following list does present JSP implicit object?,None of the others
Which methods are used for session tracking of Java web application?,Using HttpSession
Which methods are used for session tracking of Java web application?,Using Hidden Form Fields
Which methods are used for session tracking of Java web application?,Using Cookies
Which methods are used for session tracking of Java web application?,"&lt;p>&lt;span style=""font-size: 16px;"">Using URL rewrite technic&lt;/span>&lt;/p>"
Which following sentence is correct about Filter Life Cycle?,The Filter is trigger before invoke servlet method
Which following sentence is correct about Filter Life Cycle?,The Filter is trigger before request come to servlet
Which following sentence is correct about Filter Life Cycle?,The Filter is trigger before Context Initialization Parameter is created
Which following sentence is correct about Filter Life Cycle?,None of the others
How does DBMS deal with concurrent multi-user?&lt;/b>&lt;br>&lt;br>,Connection pool is provided by DBMS server and application server
How does DBMS deal with concurrent multi-user?&lt;/b>&lt;br>&lt;br>,Using 1 connection sharing by multi user
How does DBMS deal with concurrent multi-user?&lt;/b>&lt;br>&lt;br>,Eliminate connection leaks in database applications
How does DBMS deal with concurrent multi-user?&lt;/b>&lt;br>&lt;br>,Always manage database tasks with transaction.
Which of the following statements about the JavaBean is true?,The public get/set methods give access to the properties of the bean.
Which of the following statements about the JavaBean is true?,JavaBean component property must only be write-only format.
Which of the following statements about the JavaBean is true?,It is possible initialise the JavaBeans with arguments using jsp:useBean.
Which of the following statements about the JavaBean is true?,Java bean object can initialized with any construtor in servlet or sriptlet.
Which structure of Request Line in Request Message is?,[HTTP Method] [Requested Resource forming URI] [Protocol Version]
Which structure of Request Line in Request Message is?,[HTTP Method] [Protocol Version] [Requested Resource forming URI]
Which structure of Request Line in Request Message is?,[Requested Resource forming URI] [HTTP Method] [Protocol Version]
Which structure of Request Line in Request Message is?,None of the others
Which structure of Request Line in Request Message is?,[HTTP Method] [Requested Resource forming URI] [Protocol Version]
Which structure of Request Line in Request Message is?,[HTTP Method] [Protocol Version] [Requested Resource forming URI]
Which structure of Request Line in Request Message is?,[Requested Resource forming URI] [HTTP Method] [Protocol Version]
Which structure of Request Line in Request Message is?,None of the others
Where can Request Parameter be put in Request Message?,Request Line And Message Body
Where can Request Parameter be put in Request Message?,Only in Message Body
Where can Request Parameter be put in Request Message?,Header Information and Message Body
Where can Request Parameter be put in Request Message?,None of the others
Where can Request Parameter be put in Request Message?,Request Line And Message Body
Where can Request Parameter be put in Request Message?,Only in Message Body
Where can Request Parameter be put in Request Message?,Header Information and Message Body
Where can Request Parameter be put in Request Message?,None of the others
How does container initialize Servlet Object at deploy time?,"The servlet must be declared into web deployment descriptor with servlet
tag"
How does container initialize Servlet Object at deploy time?,"The servlet must be declared into context deployment descriptor with
servlet tag"
How does container initialize Servlet Object at deploy time?,"The servlet must be declared into web deployment descriptor with
servlet-mapping tag"
How does container initialize Servlet Object at deploy time?,None of the others
How does container initialize Servlet Object at deploy time?,"The servlet must be declared into web deployment descriptor with servlet
tag"
How does container initialize Servlet Object at deploy time?,"The servlet must be declared into context deployment descriptor with
servlet tag"
How does container initialize Servlet Object at deploy time?,"The servlet must be declared into web deployment descriptor with
servlet-mapping tag"
How does container initialize Servlet Object at deploy time?,None of the others
"&lt;p>&lt;span style='font-size:11.0pt;line-height:115%;
font-family:""Times New Roman"",serif;mso-fareast-font-family:Calibri;mso-ansi-language:
EN-US;mso-fareast-language:EN-US;mso-bidi-language:AR-SA'>Which feature is the
parameter of Request, Context, and Config same?",read-only
"&lt;p>&lt;span style='font-size:11.0pt;line-height:115%;
font-family:""Times New Roman"",serif;mso-fareast-font-family:Calibri;mso-ansi-language:
EN-US;mso-fareast-language:EN-US;mso-bidi-language:AR-SA'>Which feature is the
parameter of Request, Context, and Config same?",all are declared in web deployment descriptor
"&lt;p>&lt;span style='font-size:11.0pt;line-height:115%;
font-family:""Times New Roman"",serif;mso-fareast-font-family:Calibri;mso-ansi-language:
EN-US;mso-fareast-language:EN-US;mso-bidi-language:AR-SA'>Which feature is the
parameter of Request, Context, and Config same?",the data type is Object
"&lt;p>&lt;span style='font-size:11.0pt;line-height:115%;
font-family:""Times New Roman"",serif;mso-fareast-font-family:Calibri;mso-ansi-language:
EN-US;mso-fareast-language:EN-US;mso-bidi-language:AR-SA'>Which feature is the
parameter of Request, Context, and Config same?",None of the others
"&lt;p>&lt;span style='font-size:11.0pt;line-height:115%;
font-family:""Times New Roman"",serif;mso-fareast-font-family:Calibri;mso-ansi-language:
EN-US;mso-fareast-language:EN-US;mso-bidi-language:AR-SA'>Which feature is the
parameter of Request, Context, and Config same?",read-only
"&lt;p>&lt;span style='font-size:11.0pt;line-height:115%;
font-family:""Times New Roman"",serif;mso-fareast-font-family:Calibri;mso-ansi-language:
EN-US;mso-fareast-language:EN-US;mso-bidi-language:AR-SA'>Which feature is the
parameter of Request, Context, and Config same?",all are declared in web deployment descriptor
"&lt;p>&lt;span style='font-size:11.0pt;line-height:115%;
font-family:""Times New Roman"",serif;mso-fareast-font-family:Calibri;mso-ansi-language:
EN-US;mso-fareast-language:EN-US;mso-bidi-language:AR-SA'>Which feature is the
parameter of Request, Context, and Config same?",the data type is Object
"&lt;p>&lt;span style='font-size:11.0pt;line-height:115%;
font-family:""Times New Roman"",serif;mso-fareast-font-family:Calibri;mso-ansi-language:
EN-US;mso-fareast-language:EN-US;mso-bidi-language:AR-SA'>Which feature is the
parameter of Request, Context, and Config same?",None of the others
Which following sentence does present Implicit Objects’ object?,"pageContext, config, application, exception"
Which following sentence does present Implicit Objects’ object?,"pageContext, config, context, exception"
Which following sentence does present Implicit Objects’ object?,"pageContext, servlet, application, parameter"
Which following sentence does present Implicit Objects’ object?,None of the others
"&lt;p>&lt;span style='font-size:12.0pt;mso-bidi-font-size:11.0pt;
line-height:115%;font-family:""Times New Roman"",serif;mso-fareast-font-family:
Calibri;mso-ansi-language:EN-US;mso-fareast-language:EN-US;mso-bidi-language:
AR-SA;mso-bidi-font-weight:bold'>Which component can be used call method and
output to response object in JSP code?","&lt;p>&lt;span style='font-size:12.0pt;mso-bidi-font-size:11.0pt;
line-height:115%;font-family:""Times New Roman"",serif;mso-fareast-font-family:
Calibri;mso-ansi-language:EN-US;mso-fareast-language:EN-US;mso-bidi-language:
AR-SA;mso-bidi-font-weight:bold'>expression"
"&lt;p>&lt;span style='font-size:12.0pt;mso-bidi-font-size:11.0pt;
line-height:115%;font-family:""Times New Roman"",serif;mso-fareast-font-family:
Calibri;mso-ansi-language:EN-US;mso-fareast-language:EN-US;mso-bidi-language:
AR-SA;mso-bidi-font-weight:bold'>Which component can be used call method and
output to response object in JSP code?","&lt;p>&lt;span style='font-size:12.0pt;mso-bidi-font-size:11.0pt;
line-height:115%;font-family:""Times New Roman"",serif;mso-fareast-font-family:
Calibri;mso-ansi-language:EN-US;mso-fareast-language:EN-US;mso-bidi-language:
AR-SA;mso-bidi-font-weight:bold'>scriplets"
"&lt;p>&lt;span style='font-size:12.0pt;mso-bidi-font-size:11.0pt;
line-height:115%;font-family:""Times New Roman"",serif;mso-fareast-font-family:
Calibri;mso-ansi-language:EN-US;mso-fareast-language:EN-US;mso-bidi-language:
AR-SA;mso-bidi-font-weight:bold'>Which component can be used call method and
output to response object in JSP code?","&lt;p>&lt;span style='font-size:12.0pt;mso-bidi-font-size:11.0pt;
line-height:115%;font-family:""Times New Roman"",serif;mso-fareast-font-family:
Calibri;mso-ansi-language:EN-US;mso-fareast-language:EN-US;mso-bidi-language:
AR-SA;mso-bidi-font-weight:bold'>declaration"
"&lt;p>&lt;span style='font-size:12.0pt;mso-bidi-font-size:11.0pt;
line-height:115%;font-family:""Times New Roman"",serif;mso-fareast-font-family:
Calibri;mso-ansi-language:EN-US;mso-fareast-language:EN-US;mso-bidi-language:
AR-SA;mso-bidi-font-weight:bold'>Which component can be used call method and
output to response object in JSP code?","&lt;p>&lt;span style='font-size:12.0pt;mso-bidi-font-size:11.0pt;
line-height:115%;font-family:""Times New Roman"",serif;mso-fareast-font-family:
Calibri;mso-ansi-language:EN-US;mso-fareast-language:EN-US;mso-bidi-language:
AR-SA;mso-bidi-font-weight:bold'>None of the others"
"&lt;p>&lt;span style='font-size:12.0pt;mso-bidi-font-size:11.0pt;
line-height:115%;font-family:""Times New Roman"",serif;mso-fareast-font-family:
Calibri;mso-ansi-language:EN-US;mso-fareast-language:EN-US;mso-bidi-language:
AR-SA;mso-bidi-font-weight:bold'>Which component can be used call method and
output to response object in JSP code?","&lt;p>&lt;span style='font-size:12.0pt;mso-bidi-font-size:11.0pt;
line-height:115%;font-family:""Times New Roman"",serif;mso-fareast-font-family:
Calibri;mso-ansi-language:EN-US;mso-fareast-language:EN-US;mso-bidi-language:
AR-SA;mso-bidi-font-weight:bold'>expression"
"&lt;p>&lt;span style='font-size:12.0pt;mso-bidi-font-size:11.0pt;
line-height:115%;font-family:""Times New Roman"",serif;mso-fareast-font-family:
Calibri;mso-ansi-language:EN-US;mso-fareast-language:EN-US;mso-bidi-language:
AR-SA;mso-bidi-font-weight:bold'>Which component can be used call method and
output to response object in JSP code?","&lt;p>&lt;span style='font-size:12.0pt;mso-bidi-font-size:11.0pt;
line-height:115%;font-family:""Times New Roman"",serif;mso-fareast-font-family:
Calibri;mso-ansi-language:EN-US;mso-fareast-language:EN-US;mso-bidi-language:
AR-SA;mso-bidi-font-weight:bold'>scriplets"
"&lt;p>&lt;span style='font-size:12.0pt;mso-bidi-font-size:11.0pt;
line-height:115%;font-family:""Times New Roman"",serif;mso-fareast-font-family:
Calibri;mso-ansi-language:EN-US;mso-fareast-language:EN-US;mso-bidi-language:
AR-SA;mso-bidi-font-weight:bold'>Which component can be used call method and
output to response object in JSP code?","&lt;p>&lt;span style='font-size:12.0pt;mso-bidi-font-size:11.0pt;
line-height:115%;font-family:""Times New Roman"",serif;mso-fareast-font-family:
Calibri;mso-ansi-language:EN-US;mso-fareast-language:EN-US;mso-bidi-language:
AR-SA;mso-bidi-font-weight:bold'>declaration"
"&lt;p>&lt;span style='font-size:12.0pt;mso-bidi-font-size:11.0pt;
line-height:115%;font-family:""Times New Roman"",serif;mso-fareast-font-family:
Calibri;mso-ansi-language:EN-US;mso-fareast-language:EN-US;mso-bidi-language:
AR-SA;mso-bidi-font-weight:bold'>Which component can be used call method and
output to response object in JSP code?","&lt;p>&lt;span style='font-size:12.0pt;mso-bidi-font-size:11.0pt;
line-height:115%;font-family:""Times New Roman"",serif;mso-fareast-font-family:
Calibri;mso-ansi-language:EN-US;mso-fareast-language:EN-US;mso-bidi-language:
AR-SA;mso-bidi-font-weight:bold'>None of the others"
"Which tags in web deployment descriptor are used to refer datasource in
configuring to connect dynamic DB?","res-ref-name, res-type, res-auth"
"Which tags in web deployment descriptor are used to refer datasource in
configuring to connect dynamic DB?","resource-ref-name, resource-type, resource-auth"
"Which tags in web deployment descriptor are used to refer datasource in
configuring to connect dynamic DB?","&lt;p>n&lt;span style=""line-height: 115%; font-size: 12pt;"">ame, type, auth"
"Which tags in web deployment descriptor are used to refer datasource in
configuring to connect dynamic DB?",None of the others
"Which tags in web deployment descriptor are used to refer datasource in
configuring to connect dynamic DB?","res-ref-name, res-type, res-auth"
"Which tags in web deployment descriptor are used to refer datasource in
configuring to connect dynamic DB?","resource-ref-name, resource-type, resource-auth"
"Which tags in web deployment descriptor are used to refer datasource in
configuring to connect dynamic DB?","&lt;p>n&lt;span style=""line-height: 115%; font-size: 12pt;"">ame, type, auth"
"Which tags in web deployment descriptor are used to refer datasource in
configuring to connect dynamic DB?",None of the others
"&lt;p>&lt;/p>&lt;p>&lt;span style=""font-size:11.0pt;line-height:115%"">Given xml
fragment code&lt;/span>&lt;/p>

&lt;p>&lt;span style=""font-size:11.0pt;line-height:115%"">&lt;Resource
name=""DS007"" type=""javax.sql.DataSource""
auth=""Container"" driverClassName=""com.microsoft.sqlserver.jdbc.SQLServerDriver""
url=""jdbc:sqlserver://localhost:1433;databaseName=Sinhvien2K17;instanceName=SQL2017""
username=""sa"" password=""trongkhanh""/&gt;&lt;/span>&lt;/p>

&lt;span style=""font-size:11.0pt;line-height:115%;font-family:&quot;Times New Roman&quot;,serif;
mso-fareast-font-family:Calibri;mso-ansi-language:EN-US;mso-fareast-language:
EN-US;mso-bidi-language:AR-SA"">Where should above code put?&lt;/span>&lt;br>&lt;p>&lt;/p>",context.xml file
"&lt;p>&lt;/p>&lt;p>&lt;span style=""font-size:11.0pt;line-height:115%"">Given xml
fragment code&lt;/span>&lt;/p>

&lt;p>&lt;span style=""font-size:11.0pt;line-height:115%"">&lt;Resource
name=""DS007"" type=""javax.sql.DataSource""
auth=""Container"" driverClassName=""com.microsoft.sqlserver.jdbc.SQLServerDriver""
url=""jdbc:sqlserver://localhost:1433;databaseName=Sinhvien2K17;instanceName=SQL2017""
username=""sa"" password=""trongkhanh""/&gt;&lt;/span>&lt;/p>

&lt;span style=""font-size:11.0pt;line-height:115%;font-family:&quot;Times New Roman&quot;,serif;
mso-fareast-font-family:Calibri;mso-ansi-language:EN-US;mso-fareast-language:
EN-US;mso-bidi-language:AR-SA"">Where should above code put?&lt;/span>&lt;br>&lt;p>&lt;/p>",web deployment descriptor file
"&lt;p>&lt;/p>&lt;p>&lt;span style=""font-size:11.0pt;line-height:115%"">Given xml
fragment code&lt;/span>&lt;/p>

&lt;p>&lt;span style=""font-size:11.0pt;line-height:115%"">&lt;Resource
name=""DS007"" type=""javax.sql.DataSource""
auth=""Container"" driverClassName=""com.microsoft.sqlserver.jdbc.SQLServerDriver""
url=""jdbc:sqlserver://localhost:1433;databaseName=Sinhvien2K17;instanceName=SQL2017""
username=""sa"" password=""trongkhanh""/&gt;&lt;/span>&lt;/p>

&lt;span style=""font-size:11.0pt;line-height:115%;font-family:&quot;Times New Roman&quot;,serif;
mso-fareast-font-family:Calibri;mso-ansi-language:EN-US;mso-fareast-language:
EN-US;mso-bidi-language:AR-SA"">Where should above code put?&lt;/span>&lt;br>&lt;p>&lt;/p>",In JSP file that uses DB in progress
